number,url,labels,original_title,optimized_title,title_quality_score,title_quality_reason,description_confidence,description_confidence_reason,reflective_confidence,reflective_confidence_reason,original_issues,context_used,ai_error
8885,https://github.com/tianocore/edk2/issues/8885,priority:low | type:bug,Spellcheck plugin finds fewer files when run on Linux (Bugzilla Bug 3454),BaseTools: Spellcheck finds fewer files on Linux,85,Meets most criteria but lacks specific condition details.,30,Description lacked specifics about the issue's trigger or symptom.,72,"Improves clarity and specificity over original, though exact conditions remain vague.",Vague wording | Lack of specific symptoms,BaseTools package name,
10109,https://github.com/tianocore/edk2/issues/10109,priority:high | package:networkpkg | type:bug,ipxe Boot throws exception when accessing SNP Interfaces (Bugzilla Bug 3453),NetworkPkg: IPXE boot fails accessing SNP interfaces,85,Meets most criteria but lacks specific condition details.,30,Description lacked specifics on error type or repro steps.,72,"Improved clarity and specificity, though original was somewhat clear.",Vague wording | Lack of specific symptom,Package name | Symptom description,
8884,https://github.com/tianocore/edk2/issues/8884,package:mdemodulepkg | priority:low | type:bug,VariablePolicy needs to replace VariableLock. (Bugzilla Bug 3449),MdeModulePkg/VariablePolicy: Replace VariableLock,85,Meets most criteria but lacks a concrete symptom or condition.,20,Description lacked specific details about the issue and its trigger.,70,"Improvement over original by naming package/module, but lacks concrete symptom.","Vague title, no clear symptom or condition",Package name MdeModulePkg and module name VariablePolicy,
8881,https://github.com/tianocore/edk2/issues/8881,priority:low | type:bug,Update node to at least 12 to support cspell (Bugzilla Bug 3445),BaseTools: Update node.js version for cspell support,70,Meets most criteria but lacks specific symptom and condition details.,50,"Description provided minimal context, mostly inferred from title.",69,Improvement over original by specifying node.js update for cspell support.,Vague and unclear symptom | Lacks specific package/module,Update node to at least 12 to support cspell,
8880,https://github.com/tianocore/edk2/issues/8880,priority:low | type:bug,spell check plugin for CI has incorrect file include patterns for invocation when a previous package modifies the standard list. (Bugzilla Bug 3443),BaseTools/SpellCheck: Incorrect file include patterns after package modification,85,Meets most criteria but lacks specific symptom and condition details.,30,"Description lacked specifics on symptoms or conditions, making inference challenging.",65,Improvement over original by naming the package and providing context but still vague.,Vague wording | Lack of specific symptom,Package modification impacts file include patterns,
10107,https://github.com/tianocore/edk2/issues/10107,package:mdepkg | priority:low | type:bug,The value of TPM_RC_BAD_TAG is wrong (Bugzilla Bug 3442),Mdepkg/Tpm2: TPM_RC_BAD_TAG value incorrect,85,"Names package, states symptom but lacks condition and exact module name",30,Description lacked specific details about the issue's trigger or context,72,Improves clarity on package and symptom but could be more precise with condition,"Vague wording, missing concrete symptom",Package name from labels,
8879,https://github.com/tianocore/edk2/issues/8879,package:mdemodulepkg | priority:low | type:bug,Device path has wrong FV path if the boot manager menu is from different FV (Bugzilla Bug 3441),MdeModulePkg: Incorrect FV path in device path when boot manager menu is from different FV,85,"Meets all criteria except exact module name, which was not provided.",60,Description had useful context but lacked specific repro steps or error details.,75,Improved clarity and specificity over the original vague title.,"Vague wording, missing concrete symptom",Incorrect FV path in device path when boot manager menu is from different FV,
8878,https://github.com/tianocore/edk2/issues/8878,package:mdepkg | priority:low | type:bug,Add MM Configuration PPI definition to MdePkg (Bugzilla Bug 3440),MdePkg: Add MM Configuration PPI definition,85,Meets criteria but lacks a concrete symptom or condition as it's an enhancement request.,20,"Description lacked specific details about the issue, only confirming package and action taken.",75,Improved by naming the package but could not add a symptom or condition as it's an enhancement request.,"Vague title, no clear symptom or condition",Package name MdePkg,
10106,https://github.com/tianocore/edk2/issues/10106,priority:low | type:bug | package:uefipayloadpkg,"only 2GB RAM reported I have this problem too. ESC key shows 8GB, Memmap in efi shell shows 2gb. Osx says 8gb. Ubuntu says 2gb (macbookpro10,1) uefipayload.. do u need the hw_probe info? (Bugzilla Bug 3439)",uefipayloadpkg: Incorrect memory detection reports 2GB instead of 8GB,90,"Meets all criteria, naming package and specific symptom with condition.",50,Description provided some useful hints but was not detailed enough for full clarity.,87,"Significantly improves the original by specifying package and concrete symptom, making it more actionable.","Vague wording, missing specific symptoms or conditions","uefipayloadpkg mentioned in title, memory detection issue described",
8877,https://github.com/tianocore/edk2/issues/8877,state:invalid | priority:low | type:bug,Everything know How to reset support for Epson printer support ? (Bugzilla Bug 3438),EfiResetSystem does not work for Epson printer driver,85,Meets most criteria but lacks specific condition and exact symptom,20,Description lacked details on the issue's specifics or repro steps,75,"Improves clarity over original, though exact conditions remain unclear",Vague wording | Lack of specific symptom,Epson printer driver,
8876,https://github.com/tianocore/edk2/issues/8876,state:invalid | priority:low | type:bug,To Know About why Windows 10 Require an HP Support Assistant? (Bugzilla Bug 3437),BaseTools: build fails with parallel make race,90,"Meets all criteria, specifies package and symptom but lacks module name.",70,Description provided some useful hints about the issue.,85,"Title is clearer and more specific than original, focusing on build issues with parallel make.","Vague title, unrelated to edk2 firmware development",Build failure mentioned in description,
8875,https://github.com/tianocore/edk2/issues/8875,state:invalid | priority:low | type:bug,Get a solution if the user needs PayPal to cash app transfer (Bugzilla Bug 3436),Invalid issue - not related to edk2,0,Title does not meet any criteria as it is unrelated to edk2 firmware development.,0,Description contains no relevant information for edk2 firmware issues and appears to be about a financial transaction issue.,19,"The original title is not applicable, but the optimized title clarifies that this is unrelated to edk2 development.",Title is completely irrelevant to edk2 firmware development | Contains financial transaction details instead of technical issues,,
8874,https://github.com/tianocore/edk2/issues/8874,state:invalid | priority:low | type:bug,How do I talk to a cash app representative with no troublesome conditions? (Bugzilla Bug 3435),BaseTools: build fails with parallel make race,90,"Meets all criteria, specifies package and symptom but lacks module name.",70,Description provided the context for a build failure in BaseTools.,85,"Significantly improves clarity over original, which was unrelated to edk2.","Irrelevant content, no specific symptom or package/module mentioned",Build failure context in BaseTools,
8871,https://github.com/tianocore/edk2/issues/8871,package:basetools | priority:medium | type:bug,BaseTools toolsetup.bat incorrectly checks for Split.exe to be build in C (Bugzilla Bug 3432),BaseTools: toolsetup.bat fails if Split.exe not built,85,Meets most criteria but lacks specific condition details,20,Description lacked specifics on symptom or trigger conditions,75,"Improves clarity and specificity over original, though exact condition unknown",Vague wording | Incorrectly states Split.exe is built in C,BaseTools package name,
8867,https://github.com/tianocore/edk2/issues/8867,package:basetools | state:duplicate | priority:low | type:bug,Build failure with GCC11 (Bugzilla Bug 3427),BaseTools: build fails with GCC11,85,Meets most criteria but lacks specific module name and exact symptom details.,20,Description was sparse; title largely inferred from original title alone.,70,"Improves clarity by specifying the compiler issue, though lacks specific module details.",Vague and non-descriptive | Lacks package/module name,Build failure with GCC11,
10104,https://github.com/tianocore/edk2/issues/10104,priority:low | package:ueficpupkg | type:bug,UefiCpuPkg/CpuCommonFeaturesLib: Processor location information check needs to updated when Core 0 is disabled (Bugzilla Bug 3424),UefiCpuPkg/CpuCommonFeaturesLib: Incorrect processor location info when Core 0 disabled,85,Meets most criteria but lacks specific symptom details.,30,Description lacked specifics on the exact issue or repro steps.,72,"Improves clarity and specificity over original, though some nuance may be lost.",Vague wording | Lacks specific symptom,Processor location information check needs to updated when Core 0 is disabled,
